year,make,model,trim,body,transmission,state,condition,odometer,color,interior,sellingprice
2012,Nissan,Versa,1.6 S,Sedan,automatic,pr,3.4,31367.0,beige,black,8800
2011,Ford,Taurus,Limited,Sedan,automatic,mn,4.2,27942.0,,black,13100
2011,BMW,5 Series,550i,Sedan,automatic,ca,4.3,17281.0,white,black,33500
2013,Mazda,Mazda2,Sport,Hatchback,,nj,4.5,37741.0,black,black,9600
2013,Ram,2500,Tradesman,Crew Cab,automatic,mn,4.2,30902.0,white,gray,31800
2012,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,,pa,3.7,65417.0,black,black,19200
2011,Kia,Sorento,Base,SUV,automatic,ga,4.7,101856.0,white,black,9300
2013,BMW,5 Series,528i,Sedan,automatic,ca,2.1,10683.0,black,black,26250
2013,Hyundai,Sonata,GLS,Sedan,,pa,3.6,58783.0,blue,gray,10700
2012,Ford,Fusion,SEL,Sedan,automatic,tx,3.7,37886.0,,black,13600
2012,Infiniti,G Convertible,G37,G Convertible,automatic,ca,4.5,26998.0,silver,black,24500
2013,Hyundai,Accent,GLS,Sedan,automatic,ca,2.0,36586.0,silver,gray,7100
2012,Ford,Fusion,SEL,sedan,automatic,ca,3.7,98777.0,silver,gray,8500
2013,Honda,Civic,LX,Sedan,automatic,nv,4.4,13563.0,white,beige,14900
2013,Kia,Rio,LX,Hatchback,automatic,fl,4.4,13730.0,white,gray,10700
2014,Ram,2500,Tradesman,Crew Cab,automatic,tx,4.2,2971.0,white,gray,29000
2013,Infiniti,G Coupe,G37 Sport,g coupe,automatic,fl,3.5,24095.0,black,beige,23000
2014,Chevrolet,Cruze,1LT,sedan,automatic,il,2.0,13105.0,red,gray,11600
2013,Ram,1500,SLT,Quad Cab,,fl,3.2,15882.0,blue,gray,27900
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,tx,3.3,76077.0,white,brown,9300
2012,Volvo,S60,T6,Sedan,automatic,fl,3.9,31904.0,gray,black,25500
2011,Ram,1500,SLT,Crew Cab,,nc,2.2,118188.0,silver,black,10000
2011,Infiniti,G Sedan,G25,G Sedan,automatic,ca,4.2,28405.0,gray,black,16500
2012,Nissan,Leaf,SL,Hatchback,automatic,wa,4.2,20993.0,red,beige,10800
2014,Chrysler,200,Touring,Sedan,automatic,mo,4.4,23698.0,red,black,31000
2013,Nissan,Altima,3.5 SL,sedan,automatic,fl,4.5,23795.0,gray,black,15000
2011,Nissan,Rogue,SV,SUV,automatic,wa,3.9,50563.0,white,gray,15200
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,ca,3.3,53399.0,white,gray,9500
2012,Hyundai,Elantra,GLS,Sedan,automatic,fl,3.4,65485.0,black,beige,9700
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,nc,3.1,62841.0,white,gray,9100
2014,Chrysler,Town and Country,Touring,Minivan,automatic,il,4.0,24966.0,beige,black,13700
2011,Ford,Fusion,SE,Sedan,automatic,ga,3.7,74106.0,gray,gray,8400
2012,Ford,Edge,SEL,SUV,automatic,tn,4.3,47262.0,,black,20900
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,ca,3.6,37263.0,black,black,13000
2013,Nissan,Altima,2.5 S,Coupe,automatic,pa,4.4,31130.0,black,black,13100
2013,Hyundai,Elantra,GLS,Sedan,automatic,tx,3.6,46936.0,silver,gray,11000
2011,Chevrolet,Aveo,LS,Sedan,automatic,ca,3.6,57603.0,gray,black,5200
2013,Lexus,ES 350,Base,Sedan,automatic,fl,2.8,17034.0,white,black,27600
2013,Toyota,RAV4,LE,SUV,automatic,mo,3.2,60124.0,silver,gray,16500
2013,Ford,Focus,SE,Sedan,automatic,mi,4.5,16466.0,red,black,11700
2014,Infiniti,QX70,Base,SUV,automatic,tn,5.0,8897.0,gray,black,39400
2013,Lexus,IS 250,Base,Sedan,automatic,fl,4.2,13852.0,red,black,26200
2013,Dodge,Grand Caravan,Crew,Minivan,automatic,mn,4.7,53441.0,red,gray,14600
2012,Toyota,Camry,SE,sedan,automatic,fl,3.3,33162.0,black,black,13000
2013,Kia,Optima,SX,Sedan,automatic,ca,4.4,21255.0,blue,black,20900
2012,Nissan,Maxima,3.5 S,Sedan,automatic,tn,4.5,28144.0,black,black,18200
2011,Infiniti,EX,EX35,suv,,pa,4.3,22882.0,,beige,25700
2013,Nissan,Altima,2.5 S,Coupe,automatic,ga,3.1,53493.0,silver,black,11400
2013,Ford,Focus,SE,Hatchback,automatic,tx,3.6,57456.0,gray,black,10100
2011,Dodge,Grand Caravan,Express,Minivan,automatic,tn,4.8,79833.0,gray,black,9100
2012,Ford,Fusion,SEL,Sedan,automatic,fl,3.6,35858.0,black,black,12500
2013,Nissan,Murano,SV,SUV,,tn,4.4,14709.0,burgundy,gray,20400
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,tn,4.2,41182.0,,black,22000
2013,Toyota,Matrix,L,Hatchback,automatic,tn,4.4,39056.0,silver,black,11900
2012,Honda,Accord,SE,Sedan,automatic,nj,3.5,44636.0,black,black,12900
2012,Honda,Pilot,Touring,SUV,automatic,nj,4.2,53887.0,silver,black,25000
2012,GMC,Terrain,SLE-2,SUV,automatic,tx,4.4,50378.0,red,black,13600
2013,Chevrolet,Malibu,LT,Sedan,automatic,az,3.4,55515.0,black,black,12900
2014,Kia,Forte,LX,Sedan,,wi,4.2,10577.0,blue,gray,12800
2012,Hyundai,Sonata,GLS,sedan,automatic,ca,3.6,15399.0,black,gray,12800
2014,Volkswagen,Passat,TDI SE,Sedan,automatic,ca,5.0,3448.0,gray,black,24500
2011,Ford,Taurus,SE,Sedan,automatic,ga,2.9,40618.0,,gray,11600
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,il,4.7,44582.0,white,gray,18400
2012,Nissan,Altima,2.5 S,Sedan,automatic,co,2.8,43529.0,white,beige,12900
2013,Chevrolet,Silverado 2500HD,LT,Crew Cab,automatic,co,2.7,64551.0,white,black,31500
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,ca,4.2,20704.0,blue,black,23750
2014,Kia,Rio,LX,Sedan,automatic,tn,3.7,13925.0,white,black,11000
2012,Ford,Focus,SEL,Sedan,automatic,md,3.1,24495.0,blue,black,9700
2015,Chrysler,200,Limited,Sedan,automatic,fl,4.8,3607.0,gray,black,15900
2014,Jeep,Patriot,Limited,SUV,,pa,4.8,11624.0,white,black,17600
2013,Chevrolet,Cruze,LS,Sedan,automatic,nv,4.3,20410.0,silver,black,12000
2011,Toyota,RAV4,Limited,SUV,automatic,wa,4.2,46708.0,white,beige,17300
2011,Ford,Fusion,SE,Sedan,automatic,ca,2.5,64861.0,white,gray,9000
2014,Dodge,Journey,SXT,SUV,automatic,tx,4.4,21265.0,white,beige,16900
2014,Ford,Transit Connect,Wagon Titanium LWB,Minivan,automatic,tn,4.4,6603.0,,gray,22700
2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,oh,2.5,23583.0,black,black,28750
2014,Chevrolet,Suburban,LTZ 1500,SUV,automatic,ca,4.2,40196.0,white,black,38250
2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,nv,2.4,45166.0,silver,black,10100
2011,Ford,Explorer,XLT,suv,,pa,4.1,68390.0,white,black,17400
2011,Lincoln,MKT,Base,Wagon,,pa,4.5,33230.0,black,black,22200
2015,Chevrolet,Suburban,LT,SUV,automatic,fl,2.7,4531.0,white,beige,42000
2014,Infiniti,QX70,Base,SUV,,nj,4.4,10494.0,white,black,36250
2014,Chevrolet,Impala,LT,Sedan,,pa,3.0,15261.0,black,gray,19100
2011,Ford,E-Series Van,E-250,E-Series Van,automatic,fl,4.9,2890.0,white,gray,21500
2012,Nissan,Altima,2.5,sedan,automatic,fl,2.6,34524.0,black,black,12200
2012,Kia,Optima,SX,sedan,automatic,tx,4.9,22541.0,silver,black,19400
2012,Toyota,RAV4,Base,SUV,automatic,mo,3.8,61737.0,white,gray,13700
2013,Mercedes-Benz,C-Class,C350,Coupe,,ga,3.4,25475.0,white,red,25500
2011,Chevrolet,Malibu,LT1,Sedan,automatic,pa,3.5,39901.0,gray,black,10300
2014,Subaru,Legacy,2.5i Premium PZEV,Sedan,automatic,ca,4.8,15472.0,gold,beige,17700
2013,Chevrolet,Sonic,LS,sedan,automatic,tx,3.5,20567.0,white,gray,8000
2011,Ford,Fusion,SE,Sedan,automatic,nc,3.6,80300.0,white,beige,8400
2014,Nissan,Sentra,FE+ SV,Sedan,automatic,mn,4.2,21762.0,red,black,11800
2011,BMW,5 Series,528i,Sedan,automatic,fl,4.1,100907.0,black,tan,19500
2013,Subaru,Impreza WRX,Base,sedan,manual,tx,3.8,30315.0,black,black,22000
2013,Ford,Fusion Hybrid,SE,Sedan,automatic,fl,4.0,46318.0,white,beige,15000
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,tn,4.6,42508.0,white,gray,17400
2014,Dodge,Grand Caravan,SE,Minivan,,on,4.5,31523.0,blue,black,20400
2013,Mazda,Mazda3,i Sport,Sedan,automatic,oh,4.4,43965.0,black,black,10500
2011,Nissan,Rogue,S,SUV,automatic,pa,4.2,44656.0,silver,black,12600
2014,Nissan,NV Cargo,2500 S,Van,automatic,sc,4.1,53895.0,white,gray,19200
2014,Ford,Fusion,SE,Sedan,automatic,tn,4.3,40350.0,,gray,13500
2012,Toyota,Yaris,Fleet,Sedan,automatic,nc,3.0,77205.0,red,black,7500
2011,Toyota,Camry,LE,Sedan,automatic,tx,2.9,113649.0,silver,gray,8900
2014,Dodge,Charger,SXT,Sedan,,on,3.8,27253.0,black,black,18000
2014,Toyota,Yaris,SE,Hatchback,automatic,pr,3.8,11222.0,red,black,13000
2014,Kia,Forte,LX,Sedan,automatic,mn,4.1,31863.0,black,black,11800
2013,Ford,Edge,SEL,SUV,automatic,mo,4.1,29382.0,black,gray,22500
2011,Chevrolet,Equinox,LS,SUV,automatic,nc,2.5,59520.0,black,gray,27000
2012,Volkswagen,Passat,S PZEV,sedan,automatic,tn,3.9,44855.0,silver,black,10400
2013,Chevrolet,Malibu,LT,Sedan,,fl,3.3,50856.0,white,black,12100
2012,GMC,Terrain,SLE-1,suv,automatic,mn,4.5,31353.0,white,black,17900
2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,nj,3.3,45552.0,silver,gray,9600
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,il,4.0,18360.0,gray,gray,13900
2013,Ram,1500,SLT,Quad Cab,automatic,mo,2.8,41407.0,silver,gray,20800
2013,Ford,Taurus,SHO,Sedan,automatic,mo,4.8,39605.0,black,black,24000
2012,,,,,,pa,2.8,72881.0,white,black,6900
2013,Dodge,Charger,SE,Sedan,automatic,fl,3.5,52114.0,silver,black,13400
2012,Chevrolet,Malibu,LS,Sedan,automatic,ca,2.1,62847.0,gray,gray,8600
2011,Dodge,Caliber,Mainstreet,Wagon,automatic,fl,4.9,46936.0,gray,gray,9400
2013,Ford,Fiesta,SE,Hatchback,automatic,pa,4.8,10515.0,green,black,11500
2013,Ford,Escape,SE,SUV,automatic,ca,3.4,46993.0,white,gray,13500
2012,Nissan,Leaf,SV,hatchback,automatic,ca,3.8,29895.0,red,beige,7800
2011,Toyota,Camry,LE,Sedan,automatic,fl,2.9,36008.0,silver,gray,10700
2013,Chevrolet,Sonic,LT,sedan,automatic,ga,4.5,58411.0,brown,black,8200
2013,Ford,Focus,SE,Sedan,automatic,ga,2.4,14465.0,white,gray,10100
2012,Honda,Civic,EX,Sedan,automatic,nc,3.0,24467.0,blue,gray,13300
2014,Ram,1500,SLT,Quad Cab,automatic,pa,4.2,17546.0,gray,black,26400
2013,Nissan,Altima,2.5,Sedan,automatic,fl,3.9,28735.0,red,black,13400
2012,Volvo,XC60,3.2,suv,automatic,pa,4.5,20932.0,silver,beige,29200
2012,Toyota,Corolla,S,sedan,automatic,ga,4.2,38627.0,gray,black,12400
2015,Hyundai,Sonata,SE,Sedan,automatic,az,2.0,7025.0,blue,gray,9400
2013,Nissan,Leaf,SV,Hatchback,automatic,ca,3.7,15475.0,,black,14600
2013,Ford,Edge,SEL,suv,automatic,tn,3.5,35138.0,red,black,19300
2013,Chevrolet,Cruze,LTZ,Sedan,automatic,nc,3.9,73998.0,gray,black,10300
2013,Nissan,Maxima,3.5 SV,Sedan,automatic,oh,3.9,54372.0,gray,black,14000
2014,Ford,F-150,XL,Regular Cab,automatic,fl,4.8,8795.0,white,gray,18500
2013,Lexus,ES 350,Base,Sedan,automatic,fl,4.6,24181.0,white,black,28600
2013,Ford,Edge,SE,SUV,automatic,ca,3.9,55827.0,white,beige,14800
2014,Subaru,Outback,2.5i Premium PZEV,Wagon,automatic,fl,4.8,18137.0,red,black,24000
2012,Ford,Expedition,EL King Ranch,SUV,automatic,tx,3.4,59422.0,silver,gray,7100
2012,Chevrolet,Sonic,LT,Hatchback,automatic,fl,3.6,31784.0,silver,gray,7900
2013,Hyundai,Elantra,GLS,Sedan,automatic,oh,4.5,18728.0,blue,tan,12400
2012,MINI,Cooper,Base,hatchback,automatic,ca,4.1,27636.0,red,black,12750
2013,Nissan,Sentra,SV,Sedan,automatic,fl,2.3,39461.0,white,black,9800
2015,Volvo,XC60,T5 Premier,SUV,automatic,wa,4.9,5420.0,silver,black,33400
2014,Jeep,Compass,Sport,SUV,automatic,pa,4.3,21480.0,blue,black,16500
2013,Ford,Edge,SE,SUV,automatic,ga,4.7,20447.0,white,gray,18100
2012,,,,,automatic,mi,4.4,122030.0,white,gray,12600
2012,Kia,Sedona,LX,Minivan,automatic,ne,3.8,58246.0,blue,gray,11800
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,tx,4.9,11905.0,white,beige,16200
2012,Toyota,Camry,LE,Sedan,,pa,2.9,49796.0,black,beige,11300
2012,Infiniti,G Sedan,G25,G Sedan,automatic,ca,3.9,50187.0,blue,black,16750
2011,Toyota,Prius,Three,Hatchback,automatic,wi,3.7,22066.0,white,beige,15000
2011,Nissan,Pathfinder,LE,suv,automatic,pa,3.5,42014.0,red,black,20800
2013,Hyundai,Sonata,GLS,Sedan,automatic,mo,3.9,41818.0,red,tan,12000
2012,Chrysler,200,Touring,Sedan,automatic,co,2.5,23938.0,silver,black,10100
2014,Hyundai,Genesis,3.8,Sedan,automatic,ca,3.7,17983.0,black,black,22600
2014,Jeep,Grand Cherokee,Limited,SUV,automatic,fl,5.0,36256.0,gray,black,28000
2012,Acura,TL,Technology Package,Sedan,,pa,3.2,46703.0,black,black,18800
2011,Ford,Ranger,XL,SuperCab,,mi,2.0,112988.0,white,black,4400
2014,Ram,1500,SLT,Quad Cab,automatic,mi,4.5,20302.0,white,gray,26000
2014,Toyota,Camry,L,Sedan,automatic,ga,4.1,12951.0,black,tan,15300
2013,Kia,Soul,+,wagon,automatic,wi,2.3,45214.0,white,black,9600
2014,Lexus,IS 350,Base,Sedan,automatic,ca,3.7,11526.0,red,black,34000
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,fl,3.6,17506.0,,beige,22800
2011,Toyota,Camry,LE,sedan,automatic,ga,3.5,45681.0,silver,gray,10200
2014,Kia,Optima,LX,Sedan,automatic,wa,4.9,11198.0,black,gray,16300
2012,Honda,Civic,LX,Sedan,automatic,il,4.2,40777.0,blue,gray,11700
2012,Lexus,RX 350,Base,suv,automatic,fl,3.5,58406.0,silver,black,24200
2014,Chevrolet,Cruze,2LT,sedan,automatic,mo,3.7,28454.0,red,black,12700
2014,Chevrolet,Silverado 1500,LT,Double Cab,automatic,mn,3.9,34203.0,silver,black,25000
2012,Infiniti,G Sedan,G25x,G Sedan,automatic,tx,3.6,39981.0,off-white,black,18000
2012,Honda,Civic,LX,coupe,automatic,ga,2.6,53770.0,silver,gray,9200
2013,Chevrolet,Equinox,LT,SUV,automatic,tx,3.6,32045.0,silver,black,17000
2013,Nissan,Rogue,S,suv,automatic,il,2.9,45036.0,gray,black,13100
2013,Kia,Sorento,LX,SUV,automatic,wi,4.8,37437.0,black,black,14500
2015,Kia,Forte,LX,sedan,automatic,fl,4.5,443.0,white,gray,13200
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,tx,4.4,24933.0,blue,black,19400
2012,Nissan,Altima,2.5 S,Sedan,automatic,mo,4.0,34159.0,silver,black,11900
2013,Chevrolet,Sonic,LT,sedan,automatic,tx,3.6,50105.0,white,black,7900
2012,Nissan,Altima,2.5 S,Sedan,automatic,il,3.5,29824.0,white,black,11800
2011,Infiniti,M37,x,Sedan,automatic,il,3.5,48860.0,black,tan,23200
2011,Chevrolet,Malibu,LTZ,Sedan,automatic,tn,2.3,27280.0,beige,brown,11000
2014,Chrysler,300,Base,Sedan,automatic,md,2.0,20952.0,gray,black,6000
2014,Chrysler,Town and Country,Touring,Minivan,automatic,ca,4.1,43067.0,gray,black,16600
2012,Ford,Fusion,SE,Sedan,,pa,2.3,59496.0,silver,black,9100
2012,Dodge,Durango,SXT,SUV,automatic,tx,4.6,44797.0,gray,gray,19500
2013,Chevrolet,Impala,LTZ,Sedan,automatic,fl,3.8,41593.0,charcoal,black,13000
2011,Mazda,Mazda3,i Touring,Sedan,automatic,fl,3.1,27935.0,black,black,9800
2013,Ford,Explorer,XLT,SUV,automatic,fl,4.4,32751.0,red,gray,24400
2012,Cadillac,CTS Coupe,Base,cts coupe,automatic,fl,4.5,9705.0,white,gray,24800
2013,Dodge,Journey,SE,suv,automatic,tn,4.1,35414.0,black,tan,14400
2013,Ram,1500,Tradesman,crew cab,automatic,mo,3.4,23522.0,black,gray,26400
2011,Mazda,Mazda3,i Touring,Sedan,,nj,3.4,29323.0,black,black,10400
2013,Lincoln,MKZ,Base,sedan,automatic,il,4.8,17484.0,black,black,26700
2012,Lexus,CT 200h,Premium,Hatchback,automatic,ca,3.5,29731.0,white,black,24500
2011,BMW,X5,xDrive35i,SUV,automatic,oh,3.7,48158.0,black,black,28750
2012,BMW,5 Series,528i xDrive,Sedan,,pa,4.6,29926.0,silver,gray,30500
2012,Lexus,RX 350,Base,SUV,automatic,fl,4.5,32903.0,beige,beige,29700
2013,Ford,F-150,FX4,SuperCrew,,pa,4.7,29121.0,white,black,32500
2013,Hyundai,Elantra,GLS,Sedan,,pa,4.3,23012.0,red,beige,11800
2013,Chevrolet,Cruze,1LT,Sedan,automatic,nv,3.3,56182.0,silver,black,11100
2012,Chevrolet,Camaro,LT,Coupe,manual,pa,4.1,41928.0,orange,black,17700
2014,Honda,Ridgeline,RTL w/Leather and Navigation,crew cab,automatic,ga,4.9,16329.0,blue,gray,30000
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,sedan,automatic,wa,3.7,30476.0,white,,13300
2011,Ford,F-150,XL,SuperCab,automatic,tx,2.3,118363.0,white,gray,7900
2013,Nissan,Altima,2.5,Sedan,automatic,nj,4.3,23684.0,white,beige,14800
2012,Infiniti,G Sedan,G25x,g sedan,automatic,nj,3.2,24887.0,gray,black,18200
2011,Chevrolet,Aveo,LS,Sedan,automatic,pa,2.8,25984.0,gray,black,6100
2014,Ford,Edge,SEL,SUV,automatic,ga,4.9,19443.0,red,black,22500
2013,Ford,Explorer,XLT,SUV,automatic,mo,3.7,68200.0,white,black,21200
2012,Infiniti,QX,QX56,SUV,automatic,tx,3.8,81704.0,white,beige,35800
2012,Subaru,Legacy,2.5i Premium PZEV,Sedan,automatic,az,2.0,65756.0,silver,black,9800
2013,Chevrolet,Captiva Sport,LT Fleet,SUV,automatic,ca,2.0,56109.0,white,black,11000
2013,Nissan,Armada,SV,SUV,automatic,md,2.7,60620.0,silver,black,21100
2014,Ford,Mustang,V6,Coupe,automatic,tx,4.0,39048.0,blue,black,17800
2012,Ford,Focus,SE,Sedan,automatic,oh,4.9,43779.0,silver,black,10000
2011,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,tx,2.3,145210.0,white,brown,18300
2014,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,tn,4.4,5294.0,black,gray,19500
2012,Jeep,Grand Cherokee,Overland,SUV,automatic,pa,4.6,131822.0,gray,black,16000
2012,Ford,Fusion,SE,Sedan,automatic,mo,4.8,28919.0,gray,black,13200
2014,Lincoln,MKZ,Base,Sedan,automatic,ga,3.7,34749.0,silver,black,21600
2012,Acura,TL,Base,Sedan,automatic,il,3.7,45826.0,black,black,17900
2014,Hyundai,Veloster,Base,Hatchback,automatic,az,3.7,29578.0,silver,black,13300
2013,Ford,F-150,FX4,SuperCrew,automatic,tx,4.3,84561.0,silver,black,27600
2012,Ford,F-150,FX4,supercrew,automatic,tx,3.8,41705.0,gray,black,28600
2013,Ford,Escape,SE,SUV,automatic,ca,3.7,45266.0,silver,black,13900
2015,Ford,Explorer,Sport,suv,automatic,mo,4.0,20489.0,gray,black,35900
2014,Chrysler,300,C,Sedan,automatic,il,3.2,22876.0,red,black,22400
2012,Ford,Fusion,SEL,Sedan,automatic,wi,3.0,62497.0,silver,black,9000
2014,Chevrolet,Malibu,LTZ,Sedan,automatic,fl,4.0,22562.0,red,tan,17700
2011,Ford,Fusion,SE,Sedan,automatic,oh,2.9,125679.0,gray,black,6500
2014,GMC,Terrain,SLT-2,suv,automatic,fl,4.4,38150.0,silver,black,21500
2012,Nissan,Altima,2.5 S,Sedan,,pa,4.3,49480.0,blue,black,12500
2014,Toyota,Corolla,S,Sedan,automatic,ca,4.3,12030.0,silver,black,15800
2012,Ford,Explorer,Base,SUV,automatic,fl,3.6,114243.0,blue,gray,13100
2013,Hyundai,Elantra,GLS,Sedan,,pa,4.4,12319.0,white,beige,12000
2011,Ram,1500,SLT,quad cab,automatic,co,3.7,30484.0,gray,black,19400
2011,Ford,Escape,XLT,SUV,automatic,ga,4.2,96557.0,silver,black,9400
2013,Dodge,Avenger,SE,Sedan,automatic,il,3.1,27950.0,gray,black,11100
2014,Volkswagen,Passat,TDI SE,Sedan,automatic,co,5.0,12760.0,black,black,23500
2012,Nissan,Altima,2.5 S,Sedan,automatic,nc,3.2,65981.0,gray,gray,10500
2012,Ford,Fusion,SEL,Sedan,automatic,mi,2.7,18080.0,gray,black,12500
2012,Nissan,Altima,2.5 S,Sedan,automatic,fl,3.3,38739.0,,black,12800
2012,Nissan,Frontier,SV,Crew Cab,automatic,tx,2.9,80197.0,gray,gray,13400
2013,Ford,Fusion,SE,Sedan,automatic,ga,4.5,38067.0,red,beige,14100
2014,Chrysler,300,C,Sedan,automatic,mn,4.0,31890.0,gray,black,22400
2013,Mercedes-Benz,C-Class,C250,Coupe,automatic,fl,4.4,8836.0,white,black,25000
2013,Chevrolet,Cruze,2LT,Sedan,automatic,tx,3.8,63921.0,brown,black,10800
2013,Chevrolet,Impala,LS Fleet,sedan,automatic,pa,3.4,47252.0,black,black,9300
2012,Volkswagen,Passat,S PZEV,Sedan,automatic,ca,2.4,36314.0,white,black,10750
2014,Kia,Rio,LX,Sedan,automatic,oh,4.9,10580.0,red,gray,11800
2013,Ram,1500,Sport,Quad Cab,automatic,nj,3.7,36744.0,black,black,27000
2013,Chevrolet,Suburban,LT 1500,SUV,automatic,ca,4.3,50454.0,white,black,29000
2012,Mercedes-Benz,SLK-Class,SLK350,Convertible,automatic,nj,4.7,10426.0,silver,,36250
2013,Ford,Escape,SEL,SUV,automatic,ca,4.2,28143.0,white,black,17100
2012,Hyundai,Sonata,GLS,Sedan,,pa,3.2,24857.0,black,gray,12400
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,tn,3.1,28590.0,black,black,16200
2014,Chevrolet,Cruze,2LT,Sedan,automatic,fl,3.0,18441.0,red,black,13600
2012,Toyota,RAV4,Base,SUV,automatic,fl,4.1,46531.0,silver,gray,14300
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,tx,3.5,19843.0,black,tan,18600
2014,Ford,Focus,SE,Sedan,automatic,mo,4.5,19468.0,red,,11200
2013,Toyota,Highlander,Base,SUV,,pa,4.3,29837.0,green,tan,24700
2013,Toyota,Highlander,Base,SUV,automatic,az,2.7,51351.0,gray,gray,19200
2015,Jeep,Grand Cherokee,Laredo,SUV,automatic,pa,4.0,10976.0,black,black,29000
2011,Toyota,Camry,Base,Sedan,automatic,fl,2.5,45298.0,black,beige,9200
2015,Kia,Sorento,LX,SUV,automatic,oh,5.0,9237.0,gray,black,21100
2011,Ford,Fusion,SPORT,sedan,automatic,nc,2.4,97098.0,blue,,9800
2013,Chevrolet,Camaro,SS,Convertible,,pa,3.1,45152.0,silver,black,22700
2014,Chevrolet,Tahoe,LTZ,suv,automatic,ca,4.1,13243.0,black,black,32500
2014,Nissan,Altima,2.5 S,sedan,,ca,3.9,8013.0,gray,black,16000
2011,Toyota,Sienna,XLE 8-Passenger,Minivan,automatic,ca,4.2,88751.0,white,beige,20000
2011,Toyota,Sienna,LE 8-Passenger,minivan,automatic,fl,2.1,186135.0,gray,gray,9400
2012,Honda,Accord,LX-P,Sedan,,pa,3.6,48572.0,black,beige,12400
2014,Buick,Enclave,Leather Group,SUV,automatic,tn,4.7,38681.0,gray,gray,29600
2014,Honda,CR-V,LX,SUV,automatic,ca,4.4,10251.0,red,gray,19500
2012,Ford,Escape,XLT,suv,automatic,mn,4.6,26625.0,blue,black,16500
2013,Ford,Focus,SE,Sedan,automatic,mn,3.7,44266.0,red,black,11200
2013,Chevrolet,Equinox,LT,SUV,automatic,wi,3.9,66267.0,blue,black,16400
2015,Kia,Sorento,LX,SUV,automatic,fl,5.0,10765.0,black,gray,20000
2012,Ford,Fusion,SEL,sedan,automatic,ga,4.2,24766.0,black,gray,13500
2011,Honda,Pilot,EX-L,suv,automatic,ca,2.6,162637.0,blue,gray,10750
2012,Nissan,Versa,1.8 S,hatchback,automatic,tx,4.1,46018.0,white,black,8500
2014,Subaru,Legacy,2.5i Limited PZEV,Sedan,automatic,fl,5.0,15487.0,silver,black,20800
2013,Chevrolet,Cruze,LS,Sedan,automatic,ga,1.9,37473.0,blue,black,8600
2012,Honda,Accord,LX,Sedan,automatic,oh,4.2,29598.0,gray,black,12900
2012,BMW,X3,xDrive28i,SUV,automatic,ca,4.2,29002.0,white,red,29000
2012,Volkswagen,Passat,SEL PZEV,Sedan,,pa,3.8,53014.0,gray,gray,12900
2012,Toyota,Corolla,LE,Sedan,automatic,md,2.7,59106.0,silver,gray,9000
2013,Ford,Escape,SE,SUV,automatic,wi,4.9,61461.0,white,black,15000
2014,Toyota,Camry,SE,Sedan,automatic,fl,4.2,13321.0,silver,,16700
2013,Nissan,Altima,2.5,Sedan,automatic,il,4.7,30642.0,white,beige,13400
2014,Mazda,Mazda6,i Touring,Sedan,automatic,ca,4.2,9408.0,gray,black,19500
2011,Nissan,Murano,LE,SUV,,pa,4.4,24792.0,brown,black,23400
2014,Ford,Escape,SE,SUV,automatic,mo,1.9,39475.0,white,gray,14300
2014,Kia,Optima,LX,Sedan,,ga,4.6,10373.0,gray,gray,15600
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wi,3.9,20764.0,white,beige,22750
2014,Ford,Taurus,Limited,sedan,,fl,5.0,33191.0,,tan,19800
2013,Toyota,Corolla,LE,Sedan,automatic,il,3.7,50351.0,white,tan,10901
2013,Kia,Forte,SX,Sedan,automatic,tx,3.7,26594.0,white,black,12700
2013,Nissan,Pathfinder,SL,SUV,,pa,4.1,37648.0,gray,black,22700
2013,Mazda,Mazda2,Touring,hatchback,automatic,tx,3.8,51988.0,white,black,8200
2014,Nissan,Altima,2.5 S,Sedan,automatic,oh,4.1,4721.0,,black,14500
2013,smart,fortwo,pure coupe,hatchback,automatic,fl,4.6,18007.0,white,black,6100
2013,Chevrolet,Impala,LTZ,Sedan,automatic,nv,2.8,35947.0,gray,black,13100
2013,Chevrolet,Impala,LS Fleet,Sedan,automatic,mo,2.3,34352.0,silver,tan,9500
